Country,YearlyChange
Afghanistan,2.70
Albania,-0.35
Algeria,1.57
American Samoa,-0.81
Andorra,0.33
Angola,3.08
Anguilla,0.26
Antigua and Barbuda,0.57
Argentina,0.58
Armenia,-0.09
Aruba,-0.16
Australia,1.00
Austria,0.22
Azerbaijan,0.53
Bahamas,0.64
Bahrain,0.90
Bangladesh,1.03
Barbados,0.13
Belarus,-0.39
Belgium,0.26
Belize,1.37
Benin,2.70
Bermuda,-0.18
Bhutan,0.64
Bolivia,1.35
Bosnia and Herzegovina,-0.70
Botswana,1.71
Brazil,0.52
British Virgin Islands,0.74
Brunei ,0.78
Bulgaria,-1.39
Burkina Faso,2.55
Burundi,2.71
Cabo Verde,0.93
Cambodia,1.06
Cameroon,2.63
Canada,0.85
Caribbean Netherlands,0.45
Cayman Islands,0.88
Central African Republic,2.92
Chad,3.13
Chile,0.13
China,-0.02
Colombia,0.41
Comoros,1.83
Congo,2.29
Cook Islands,0.19
Costa Rica,0.60
Croatia,-0.54
Cuba,-0.16
Curaçao,0.48
Cyprus,0.69
Czech Republic (Czechia),0.01
Côte d'Ivoire,2.53
Denmark,0.49
Djibouti,1.39
Dominica,0.42
Dominican Republic,0.93
DR Congo,3.29
Ecuador,1.05
Egypt,1.56
El Salvador,0.45
Equatorial Guinea,2.37
Eritrea,1.76
Estonia,-0.25
Eswatini,0.76
Ethiopia,2.55
Faeroe Islands,0.34
Falkland Islands,0.29
Fiji,0.71
Finland,0.09
France,0.20
French Guiana,2.49
French Polynesia,0.85
Gabon,1.99
Gambia,2.48
Georgia,-0.43
Germany,-0.09
Ghana,1.93
Gibraltar,0.12
Greece,-0.42
Greenland,0.31
Grenada,0.59
Guadeloupe,0.02
Guam,0.69
Guatemala,1.39
Guinea,2.39
Guinea-Bissau,2.15
Guyana,0.63
Haiti,1.21
Holy See,1.57
Honduras,1.54
Hong Kong,0.04
Hungary,1.90
Iceland,0.65
India,0.81
Indonesia,0.74
Iran,0.70
Iraq,2.27
Ireland,0.67
Isle of Man,0.23
Israel,1.51
Italy,-0.28
Jamaica,-0.06
Japan,-0.53
Jordan,0.45
Kazakhstan,1.08
Kenya,1.99
Kiribati,1.74
Kuwait,0.97
Kyrgyzstan,1.58
Laos,1.39
Latvia,-1.10
Lebanon,-2.47
Lesotho,1.06
Liberia,2.18
Libya,1.12
Liechtenstein,0.65
Lithuania,-1.15
Luxembourg,1.11
Macao,1.29
Madagascar,2.41
Malawi,2.58
Malaysia,1.09
Maldives,-0.53
Mali,3.10
Malta,0.33
Marshall Islands,1.03
Martinique,-0.14
Mauritania,2.68
Mauritius,0.08
Mayotte,3.03
Mexico,0.75
Micronesia,0.98
Monaco,-0.47
Mongolia,1.44
Montenegro,-0.10
Montserrat,-0.09
Morocco,1.02
Mozambique,2.81
Myanmar,0.74
Namibia,1.45
Nauru,0.88
Nepal,1.14
Netherlands,0.31
New Caledonia,1.05
New Zealand,0.83
Nicaragua,1.41
Niger,3.80
Nigeria,2.41
Niue,0.05
North Korea,0.35
North Macedonia,-0.38
Northern Mariana Islands,0.49
Norway,0.74
Oman,1.49
Pakistan,1.98
Palau,0.02
Panama,1.35
Papua New Guinea,1.85
Paraguay,1.19
Peru,0.89
Philippines,1.54
Poland,2.93
Portugal,-0.23
Puerto Rico,0.24
Qatar,0.79
Romania,1.19
Russia,-0.19
Rwanda,2.31
Réunion,0.80
Saint Barthelemy,0.25
Saint Helena,-1.12
Saint Kitts & Nevis,0.21
Saint Lucia,0.22
Saint Martin,0.90
Saint Pierre & Miquelon,-0.38
Samoa,1.48
San Marino,-0.05
Sao Tome & Principe,1.97
Saudi Arabia,1.48
Senegal,2.58
Serbia,-1.00
Seychelles,0.51
Sierra Leone,2.15
Singapore,0.65
Sint Maarten,0.11
Slovakia,2.69
Slovenia,-0.01
Solomon Islands,2.23
Somalia,3.10
South Africa,0.87
South Korea,-0.06
South Sudan,1.61
Spain,-0.08
Sri Lanka,0.28
St. Vincent & Grenadines,-0.24
State of Palestine,2.31
Sudan,2.63
Suriname,0.84
Sweden,0.59
Switzerland,0.64
Syria,4.98
Taiwan,0.13
Tajikistan,1.92
Tanzania,2.96
Thailand,0.15
Timor-Leste,1.44
Togo,2.32
Tokelau,1.18
Tonga,0.86
Trinidad and Tobago,0.25
Tunisia,0.83
Turkey,0.56
Turkmenistan,1.33
Turks and Caicos,0.79
Tuvalu,0.74
U.S. Virgin Islands,-0.72
Uganda,2.82
United Arab Emirates,0.80
United Kingdom,0.34
United States,0.50
Uruguay,0.01
Uzbekistan,1.55
Vanuatu,2.38
Venezuela,1.90
Vietnam,0.68
Wallis & Futuna,-0.60
Western Sahara,1.96
Yemen,2.24
Zambia,2.76
Zimbabwe,2.11
